epochs,embed_dim,model,test_word,similar_word,similarity_score
1,600,CBOW,science,astronomy,0.5347
1,600,CBOW,science,physics,0.513
1,600,CBOW,science,neuroscience,0.5128
1,600,CBOW,science,scientist,0.5101
1,600,CBOW,university,universitys,0.7653
1,600,CBOW,university,sociology,0.5868
1,600,CBOW,university,mit,0.5226
1,600,CBOW,university,graduate,0.4862
1,600,CBOW,university,harvard,0.4711
1,600,CBOW,student,students,0.5615
1,600,CBOW,student,graduate,0.5097
1,600,CBOW,student,undergraduates,0.4972
1,600,CBOW,student,dissertation,0.4923
1,600,CBOW,student,undergraduate,0.4785
10,300,Skip-gram,king,revmartin,0.5081
10,300,Skip-gram,king,luther,0.4923
10,300,Skip-gram,king,sir,0.4566
10,300,Skip-gram,king,kreesa,0.4432
10,300,Skip-gram,king,spanker,0.4415
10,300,Skip-gram,queen,iis,0.6322
10,300,Skip-gram,queen,elizabeth,0.6232
10,300,Skip-gram,queen,princess,0.6185
10,300,Skip-gram,queen,jubilee,0.6125
10,300,Skip-gram,queen,majesty,0.606
10,300,Skip-gram,man,woman,0.7814
10,300,Skip-gram,man,boy,0.6349
10,300,Skip-gram,man,girl,0.6027
10,300,Skip-gram,man,teenager,0.5962
10,300,Skip-gram,man,policeman,0.5644
10,300,Skip-gram,woman,man,0.7814
10,300,Skip-gram,woman,girl,0.7044
10,300,Skip-gram,woman,teenager,0.6162
10,300,Skip-gram,woman,boy,0.6068
10,300,Skip-gram,woman,yearold,0.5473
10,300,Skip-gram,computer,computers,0.7098
10,300,Skip-gram,computer,laptop,0.6156
10,300,Skip-gram,computer,software,0.6145
10,300,Skip-gram,computer,desktop,0.5706
10,300,Skip-gram,computer,encryption,0.5487
10,300,Skip-gram,science,mathematics,0.6726
10,300,Skip-gram,science,biology,0.6448
10,300,Skip-gram,science,psychology,0.6399
10,300,Skip-gram,science,physics,0.6268
10,300,Skip-gram,science,astronomy,0.5906
10,300,Skip-gram,university,universitys,0.7652
10,300,Skip-gram,university,professor,0.6857
10,300,Skip-gram,university,sociology,0.674
10,300,Skip-gram,university,yale,0.6544
10,300,Skip-gram,university,cornell,0.6426
10,300,Skip-gram,student,graduate,0.6402
10,300,Skip-gram,student,undergraduate,0.584
10,300,Skip-gram,student,students,0.5706
10,300,Skip-gram,student,college,0.5657
10,300,Skip-gram,student,teacher,0.5648
10,300,CBOW,king,halimah,0.4935
10,300,CBOW,king,dymally,0.4528
10,300,CBOW,king,alshayji,0.4525
10,300,CBOW,king,brossart,0.4377
10,300,CBOW,king,kings,0.4283
10,300,CBOW,queen,princess,0.5378
10,300,CBOW,queen,monarch,0.5181
10,300,CBOW,queen,macheka,0.4637
10,300,CBOW,queen,griffinhall,0.4493
10,300,CBOW,queen,majesty,0.4448
10,300,CBOW,man,woman,0.836
10,300,CBOW,man,teenager,0.732
10,300,CBOW,man,person,0.6924
10,300,CBOW,man,boy,0.6357
10,300,CBOW,man,guy,0.6118
10,300,CBOW,woman,man,0.836
10,300,CBOW,woman,teenager,0.7386
10,300,CBOW,woman,girl,0.7313
10,300,CBOW,woman,person,0.6648
10,300,CBOW,woman,boy,0.6529
10,300,CBOW,computer,computers,0.716
10,300,CBOW,computer,laptop,0.5847
10,300,CBOW,computer,software,0.5461
10,300,CBOW,computer,encryption,0.5078
10,300,CBOW,computer,desktop,0.4833
10,300,CBOW,science,mathematics,0.6026
10,300,CBOW,science,physics,0.5862
10,300,CBOW,science,psychology,0.5779
10,300,CBOW,science,biology,0.5371
