epochs,embed_dim,vocab_size,total_words,sentences,skipgram_semantic_accuracy,skipgram_syntactic_accuracy,skipgram_total_accuracy,skipgram_training_time_seconds,skipgram_time_per_epoch_seconds,cbow_semantic_accuracy,cbow_syntactic_accuracy,cbow_total_accuracy,cbow_training_time_seconds,cbow_time_per_epoch_seconds
1,300,520233,800000000,41051876,0.1455,0.1782,0.1709,544.65,544.65,0.12,0.3407,0.291,442.2,442.2
1,600,496810,763998553,39171502,0.3735,0.4782,0.4547,1008.47,1008.47,0.1388,0.4079,0.3474,801.78,801.78
10,300,260796,291539433,14800072,0.4091,0.4972,0.4772,1796.34,179.634,0.1587,0.4172,0.3586,1492.04,149.204
10,600,260796,291539433,14800072,0.4668,0.5151,0.5042,3568.16,356.816,0.1554,0.4085,0.351,2857.25,285.725
3,300,520233,783000000,40181595,0.3539,0.4449,0.4245,1533.33,511.10999999999996,0.1727,0.4418,0.3812,1250.98,416.99333333333334
3,600,496810,763998553,39171502,0.4693,0.546,0.5288,2965.97,988.6566666666666,0.1631,0.4492,0.3848,2356.51,785.5033333333334
