epochs,embed_dim,test_word,sg_word_1,sg_word_2,sg_word_3,sg_word_4,sg_word_5,sg_score_1,sg_score_2,sg_score_3,sg_score_4,sg_score_5,cbow_word_1,cbow_word_2,cbow_word_3,cbow_word_4,cbow_word_5,cbow_score_1,cbow_score_2,cbow_score_3,cbow_score_4,cbow_score_5
3,300,king,vi,revmartin,luther,letsie,lear,0.496,0.4726,0.4672,0.4533,0.4529,kings,alaskar,innout,dymally,vandross,0.426,0.4203,0.4119,0.4096,0.4041
3,300,queen,princess,hrh,majesty,elizabeth,monarch,0.6457,0.5818,0.5606,0.5466,0.5239,princess,debicki,minchilli,khangreig,dilts,0.5821,0.5179,0.5136,0.4898,0.4802
3,300,man,woman,boy,teenager,burglar,pensioner,0.6564,0.5411,0.5319,0.4926,0.4833,woman,teenager,policeman,person,attacker,0.788,0.7218,0.6501,0.6373,0.6018
3,300,woman,man,girl,boy,teenager,toddler,0.6564,0.6537,0.5968,0.5591,0.5471,man,teenager,girl,toddler,boy,0.788,0.7627,0.7309,0.6546,0.6448
3,300,computer,computers,laptop,spyware,software,coding,0.6166,0.582,0.564,0.5541,0.5257,computers,software,laptop,servers,malware,0.7167,0.6094,0.5486,0.5329,0.5257
3,300,science,neuroscience,mathematics,biology,physics,geology,0.6322,0.6002,0.5921,0.5872,0.5733,mathematics,psychology,physics,neuroscience,biology,0.6231,0.6069,0.5956,0.583,0.5562
3,300,university,universitys,univeristy,sociology,yale,univesity,0.7396,0.6592,0.6266,0.6172,0.6145,universitys,college,universityled,undergraduate,sociology,0.8134,0.5911,0.5908,0.5652,0.5592
3,300,student,graduate,undergraduate,teacher,postgraduate,straighta,0.5826,0.5418,0.5038,0.498,0.498,graduate,students,undergraduates,undergraduate,teacher,0.6185,0.6063,0.6032,0.592,0.5833
3,600,king,revmartin,vi,lothbury,letsie,uncrowned,0.4592,0.425,0.425,0.3969,0.3846,kings,innout,monarch,vandross,queen,0.405,0.3977,0.3665,0.3569,0.3538
3,600,queen,princess,majesty,elizabeth,monarch,hrh,0.5607,0.542,0.5121,0.4985,0.4956,princess,khangreig,monarch,majesty,fechtel,0.4691,0.3952,0.3853,0.3838,0.3808
3,600,man,woman,boy,teenager,girl,bloke,0.7191,0.5793,0.5337,0.5111,0.483,woman,teenager,person,boy,men,0.7509,0.6161,0.5882,0.5406,0.5109
3,600,woman,man,girl,teenager,boy,person,0.7191,0.6353,0.5834,0.5436,0.5352,man,teenager,girl,person,womans,0.7509,0.68,0.6659,0.5818,0.5454
3,600,computer,computers,laptop,software,desktop,keylogging,0.6645,0.5852,0.5371,0.493,0.4594,computers,laptop,software,malware,servers,0.6806,0.5229,0.4962,0.4423,0.4414
3,600,science,mathematics,physics,biology,sciences,astronomy,0.5953,0.5661,0.5417,0.5363,0.5354,mathematics,physics,scientist,sciences,neuroscience,0.5395,0.5129,0.5037,0.5011,0.4829
3,600,university,universitys,univeristy,professor,sociology,college,0.7269,0.6214,0.5786,0.5686,0.5485,universitys,sociology,universityled,mit,graduate,0.7693,0.5541,0.5468,0.4923,0.4885
3,600,student,graduate,students,undergraduate,teacher,undergraduates,0.5313,0.5286,0.488,0.4817,0.4698,students,undergraduates,graduate,undergraduate,classmate,0.5768,0.5222,0.49,0.4716,0.47
