epochs,embed_dim,model,test_word,similar_word,similarity_score
1,300,Skip-gram,king,mswati,0.5537
1,300,Skip-gram,king,queen,0.549
1,300,Skip-gram,king,tuheitia,0.5405
1,300,Skip-gram,king,canute,0.5335
1,300,Skip-gram,king,herod,0.5284
1,300,Skip-gram,queen,princess,0.6021
1,300,Skip-gram,queen,greatgreatgrandmother,0.578
1,300,Skip-gram,queen,sirikit,0.567
1,300,Skip-gram,queen,monarch,0.5637
1,300,Skip-gram,queen,hrh,0.5593
1,300,Skip-gram,man,woman,0.6248
1,300,Skip-gram,man,bloke,0.5816
1,300,Skip-gram,man,cabbie,0.5744
1,300,Skip-gram,man,girl,0.5687
1,300,Skip-gram,man,partygoer,0.5619
1,300,Skip-gram,woman,man,0.6248
1,300,Skip-gram,woman,girl,0.6125
1,300,Skip-gram,woman,carjacker,0.5945
1,300,Skip-gram,woman,filipina,0.5852
1,300,Skip-gram,woman,thrillseeker,0.5723
1,300,Skip-gram,computer,computers,0.6101
1,300,Skip-gram,computer,laptop,0.5908
1,300,Skip-gram,computer,captcha,0.5863
1,300,Skip-gram,computer,keystroke,0.5773
1,300,Skip-gram,computer,cryptography,0.5753
1,300,Skip-gram,science,astrobiology,0.6193
1,300,Skip-gram,science,humanities,0.606
1,300,Skip-gram,science,optometry,0.6029
1,300,Skip-gram,science,mathematics,0.6029
1,300,Skip-gram,science,nanoengineering,0.598
1,300,Skip-gram,university,universitys,0.6722
1,300,Skip-gram,university,univeristy,0.6545
1,300,Skip-gram,university,polytechnic,0.6392
1,300,Skip-gram,university,californiaberkeley,0.6305
1,300,Skip-gram,university,keio,0.6221
1,300,Skip-gram,student,straighta,0.5674
1,300,Skip-gram,student,premed,0.5575
1,300,Skip-gram,student,students,0.5526
1,300,Skip-gram,student,graduate,0.5464
1,300,Skip-gram,student,finalyear,0.5427
1,300,CBOW,king,bhumibol,0.5125
1,300,CBOW,king,vi,0.5102
1,300,CBOW,king,prince,0.5062
1,300,CBOW,king,queen,0.5054
1,300,CBOW,king,monarch,0.4867
1,300,CBOW,queen,princess,0.7128
1,300,CBOW,queen,monarch,0.5929
1,300,CBOW,queen,duchess,0.581
1,300,CBOW,queen,queens,0.5311
1,300,CBOW,queen,empress,0.5299
1,300,CBOW,man,woman,0.7368
1,300,CBOW,man,teenager,0.6788
1,300,CBOW,man,boy,0.6226
1,300,CBOW,man,bloke,0.6015
