epochs,embed_dim,test_word,sg_word_1,sg_word_2,sg_word_3,sg_word_4,sg_word_5,sg_score_1,sg_score_2,sg_score_3,sg_score_4,sg_score_5,cbow_word_1,cbow_word_2,cbow_word_3,cbow_word_4,cbow_word_5,cbow_score_1,cbow_score_2,cbow_score_3,cbow_score_4,cbow_score_5
1,300,king,mswati,queen,tuheitia,canute,herod,0.5537,0.549,0.5405,0.5335,0.5284,bhumibol,vi,prince,queen,monarch,0.5125,0.5102,0.5062,0.5054,0.4867
1,300,queen,princess,greatgreatgrandmother,sirikit,monarch,hrh,0.6021,0.578,0.567,0.5637,0.5593,princess,monarch,duchess,queens,empress,0.7128,0.5929,0.581,0.5311,0.5299
1,300,man,woman,bloke,cabbie,girl,partygoer,0.6248,0.5816,0.5744,0.5687,0.5619,woman,teenager,boy,bloke,person,0.7368,0.6788,0.6226,0.6015,0.5844
1,300,woman,man,girl,carjacker,filipina,thrillseeker,0.6248,0.6125,0.5945,0.5852,0.5723,man,teenager,girl,prostitute,schoolgirl,0.7368,0.732,0.7183,0.6464,0.6266
1,300,computer,computers,laptop,captcha,keystroke,cryptography,0.6101,0.5908,0.5863,0.5773,0.5753,computers,laptop,software,malware,desktop,0.7436,0.6696,0.6504,0.6499,0.6492
1,300,science,astrobiology,humanities,optometry,mathematics,nanoengineering,0.6193,0.606,0.6029,0.6029,0.598,physics,neuroscience,mathematics,astronomy,sciences,0.6923,0.6747,0.6594,0.6434,0.6275
1,300,university,universitys,univeristy,polytechnic,californiaberkeley,keio,0.6722,0.6545,0.6392,0.6305,0.6221,universitys,sociology,mit,college,institute,0.7402,0.6193,0.6104,0.5923,0.5895
1,300,student,straighta,premed,students,graduate,finalyear,0.5674,0.5575,0.5526,0.5464,0.5427,graduate,teacher,students,undergraduate,classmate,0.6229,0.6109,0.6067,0.5823,0.5782
1,600,king,queen,canute,luther,adulyadej,mswati,0.5372,0.5156,0.5055,0.5036,0.4963,queen,prince,monarch,vi,kings,0.4922,0.4852,0.4573,0.4434,0.4377
1,600,queen,princess,majesty,hrh,prince,monarch,0.6213,0.6158,0.583,0.579,0.5762,princess,monarch,throne,duchess,empress,0.6612,0.5752,0.5428,0.5329,0.495
1,600,man,woman,boy,person,teenager,girl,0.7301,0.6447,0.6379,0.6164,0.6017,woman,teenager,boy,guy,person,0.7245,0.6698,0.6214,0.5944,0.5928
1,600,woman,man,girl,person,teenager,boy,0.7301,0.6773,0.6529,0.645,0.618,man,girl,teenager,prostitute,person,0.7245,0.7194,0.7092,0.6284,0.6187
1,600,computer,computers,laptop,software,mainframe,spyware,0.6694,0.6267,0.6164,0.6034,0.5772,computers,laptop,software,malware,desktop,0.7315,0.6649,0.6086,0.6037,0.5971
1,600,science,mathematics,sciences,humanities,translational,biology,0.6232,0.6089,0.5791,0.5724,0.5712,physics,sciences,neuroscience,psychology,mathematics,0.6346,0.6252,0.6171,0.6161,0.6056
1,600,university,universitys,wisconsinmadison,faculty,polytechnic,suny,0.73,0.6515,0.6195,0.6172,0.6153,universitys,sociology,luniversit,mit,graduate,0.7485,0.6002,0.5966,0.5819,0.5564
1,600,student,students,graduate,teacher,undergraduate,pupil,0.6366,0.596,0.5872,0.5651,0.5369,students,graduate,teacher,undergraduate,classmate,0.608,0.5906,0.5806,0.5551,0.5524
