epochs,embed_dim,vocab_size,total_words,sentences,skipgram_semantic_accuracy,skipgram_syntactic_accuracy,skipgram_total_accuracy,skipgram_training_time_seconds,skipgram_time_per_epoch_seconds,cbow_semantic_accuracy,cbow_syntactic_accuracy,cbow_total_accuracy,cbow_training_time_seconds,cbow_time_per_epoch_seconds
1,300,520233,800000000,41051876,0.3164,0.3515,0.3436,257.46,257.46,0.3724,0.5267,0.492,155.09,155.09
1,600,520233,833096352,42757661,0.5257,0.5996,0.583,552.73,552.73,0.3238,0.5124,0.47,322.93,322.93
10,300,260796,291539433,14953242,0.5725,0.6154,0.6058,891.98,89.19800000000001,0.4596,0.579,0.5521,562.13,56.213
10,600,260796,291539433,14800072,0.5712,0.6045,0.597,1724.43,172.443,0.4764,0.5924,0.5661,1042.13,104.21300000000001
3,300,520233,800000000,41051876,0.5768,0.6097,0.6023,778.62,259.54,0.4981,0.5992,0.5765,484.62,161.54
3,600,520233,800000000,41051876,0.6293,0.6604,0.6534,1474.73,491.57666666666665,0.4635,0.5991,0.5686,818.85,272.95
